site_name,lat,long,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
Briggsdale,40.64999999999999,-104.33,,,,,,,,,,,0.02829576923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briggsdale,40.65,-104.33000000000001,,0.033256043478260874,,,,0.04332362068965517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briggsdale,40.65,-104.33,0.02370672,,0.03740609677419355,0.0413118,0.04266987096774194,,0.04714845833333333,0.042272333333333335,0.033297966666666665,0.02484912,,0.026737111111111114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatfield State Park,39.534488,-105.07035800000001,,0.028594535714285715,,,,,0.05511975,,,,0.029892821428571432,,,0.03028607142857143,0.038829857142857145,,,,,,,,,,,,,,,,0.04660921428571429,,,0.03311139285714286,0.031094678571428575,,,,,,,0.04880832142857143,,,,,,,,,,,,,,,,,
Chatfield State Park,39.534488,-105.070358,0.029902310344827588,,0.039918576923076925,0.04484506666666667,0.046777793103448276,0.04969163333333334,,0.05046483870967742,0.04017063333333334,0.02927233333333333,,0.028706033333333332,0.030341741935483873,,,0.04049996153846154,0.03974503333333333,0.04578425925925926,0.04730968965517241,0.05056863333333333,0.04351248275862069,0.03247254838709677,0.026261370370370372,0.028976740740740744,0.03172661290322581,0.03753548275862069,0.036740896551724134,0.04311886206896552,0.04470803333333333,0.045139200000000004,,0.05440823333333333,0.0417588,,,0.029671384615384617,0.028409806451612903,0.030289666666666666,0.04043658620689655,0.041123,0.04058109677419355,,0.06218472727272727,0.05516132258064516,0.04889483333333333,0.03575023333333334,0.02967843333333333,0.031422399999999996,0.028654580645161288,0.0357058,0.03864906451612903,0.0450941,0.04386060606060606,0.04858620689655173,0.04912353333333333,0.05144651851851852,0.042843758620689655,,
Cortez - Health Dept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortez - Health Dept,37.350054,-108.59233400000001,,0.03435717857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034344428571428574,,,,0.041630178571428575,,,,,
Cortez - Health Dept,37.350054,-108.592334,0.025657962962962962,,0.0368995,0.04535022727272727,0.045707741935483874,0.041614407407407406,,0.044918724137931035,0.03541827272727272,0.02730759090909091,0.02682958620689655,0.02462116,,,0.03836051612903226,0.0403784,0.04262546666666667,0.0425882,0.03925493333333333,0.04032455172413793,0.0386608,0.0334352,0.028452310344827585,0.023923533333333333,0.027949066666666668,0.029856999999999998,0.0354156,0.03989996666666666,0.0437451,0.0411843,0.03714903225806452,0.04296758620689655,0.03574231034482758,0.03017855172413793,0.026405689655172416,0.02322437037037037,0.026299709677419354,0.031222185185185186,0.03633777419354839,0.040088266666666664,0.04323333333333333,0.0409353,0.04599432258064516,0.04068890322580645,0.03566941379310345,0.030952645161290326,0.024752966666666668,0.02859641379310345,0.0275028064516129,,0.037247612903225806,0.040443033333333336,0.04384438709677419,,0.044093,0.04070029032258064,0.034647,,
Cortez - Health Dept,37.350054,-108.59233399999998,,,,,,,0.04443663157894737,,,,,,,0.0363058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER - CAMP,39.751184,-104.987625,0.014378333333333333,0.018617607142857144,0.030823032258064514,0.0376382962962963,0.03923151612903226,,0.047169,0.043549,0.031022633333333334,0.018980466666666664,0.018840285714285716,0.01689985185185185,0.015659607142857142,0.01771459259259259,0.028871,0.0343588,0.033962483870967744,0.0410539,0.0423392,0.044243387096774195,0.03486274074074074,0.023143166666666666,0.0143901,0.014607866666666667,0.020120607142857145,0.024565333333333335,0.028454966666666668,,0.03767922580645161,,,0.047258428571428576,0.03314123333333333,0.022778064516129033,,,0.017066451612903225,0.020191703703703705,0.02783536666666667,0.031575185185185185,0.03221842857142857,0.0428138,0.052453548387096774,,0.038317566666666664,0.02662816129032258,0.020114833333333335,0.018547033333333334,0.015476322580645161,0.02213867857142857,0.025879545454545457,0.0370569,0.03951996774193549,0.044723533333333336,0.04719167741935484,,0.03500440740740741,,
