,site_number,sample_measurement,sample_measurement,sample_measurement
,,daily_avg,daily_max,mda8
date_time,,,,
2018-10-07,0002,0.012208333333333333,0.024,0.022875
2018-10-08,0002,0.0065,0.013,0.011000000000000001
2018-10-09,0002,0.009666666666666667,0.02,0.016833333333333336
2018-10-10,0002,0.016756097560975607,0.026,0.0195
2018-10-11,0002,0.0073124999999999996,0.021,0.015625
2018-10-12,0002,0.017020833333333336,0.048,0.03987500000000001
2018-10-13,0002,0.026291666666666668,0.049,0.045
2018-10-14,0002,0.02714583333333333,0.037,0.035
2018-10-15,0002,0.027333333333333334,0.051,0.045125
2018-10-16,0002,0.027125,0.046,0.040125
2018-10-17,0002,0.02677083333333333,0.042,0.0385
2018-10-18,0002,0.027085106382978723,0.04,0.03742857142857143
2018-10-19,0002,0.030791666666666665,0.054,0.048
2018-10-20,0002,0.032875,0.051,0.048624999999999995
2018-10-21,0002,0.035520833333333335,0.053,0.049124999999999995
2018-10-22,0002,0.030425531914893614,0.05,0.044625
2018-10-23,0002,0.021875000000000002,0.046,0.031375
2018-10-24,0002,0.018208333333333333,0.039,0.035
2018-10-25,0002,0.023479166666666666,0.046,0.041875
2018-10-26,0002,0.029958333333333333,0.047,0.042375
2018-10-27,0002,0.026062500000000002,0.036,0.0325
2018-10-28,0002,0.023895833333333335,0.043,0.0405
2018-10-29,0002,0.0315,0.049,0.04325
2018-10-30,0002,0.023208333333333334,0.038,0.03225
2018-10-31,0002,0.023479166666666666,0.041,0.03775
2018-11-01,0002,0.024770833333333336,0.046,0.0415
2018-11-02,0002,0.023333333333333334,0.045,0.03775
2018-11-03,0002,0.031145833333333334,0.046,0.041875
2018-11-04,0002,0.029791666666666664,0.046,0.0405
2018-11-05,0002,0.037893617021276596,0.049,0.04625
2018-11-06,0002,0.02675,0.047,0.0445
2018-11-07,0002,0.015104166666666667,0.031,0.025875000000000002
2018-11-08,0002,0.013729166666666667,0.03,0.025500000000000002
2018-11-09,0002,0.0146875,0.037,0.025999999999999995
2018-11-10,0002,0.0243125,0.048,0.04325
2018-11-11,0002,0.028354166666666666,0.035,0.03225
2018-11-12,0002,0.024666666666666667,0.038,0.03375
2018-11-13,0002,0.025020833333333336,0.041,0.034125
2018-11-14,0002,0.023,0.041,0.033
2018-11-15,0002,0.023044444444444444,0.04,0.036833333333333336
2018-11-16,0002,0.02008333333333333,0.039,0.028375
2018-11-17,0002,0.018333333333333333,0.032,0.028375
2018-11-18,0002,0.016354166666666666,0.047,0.037625000000000006
2018-11-19,0002,0.017936170212765955,0.045,0.040874999999999995
2018-11-20,0002,0.019933333333333334,0.046,0.040499999999999994
2018-11-21,0002,0.026854166666666665,0.049,0.04125
2018-11-22,0002,0.03122916666666667,0.044,0.0395
2018-11-23,0002,0.03722916666666667,0.044,0.043
2018-11-24,0002,0.0289375,0.045,0.040625
2018-11-25,0002,0.0269375,0.042,0.038875
2018-11-26,0002,0.02026829268292683,0.043,0.03233333333333334
2018-11-27,0002,0.0186875,0.044,0.03
2018-11-28,0002,0.023979166666666666,0.045,0.039125
2018-11-29,0002,0.013729166666666667,0.032,0.026625000000000003
2018-11-30,0002,0.007666666666666666,0.017,0.012500000000000002
2018-12-01,0002,0.017541666666666667,0.034,0.0315
2018-12-02,0002,0.024520833333333335,0.036,0.034125
2018-12-03,0002,0.01625,0.03,0.028125
2018-12-04,0002,0.026041666666666668,0.043,0.038375000000000006
2018-12-05,0002,0.02504255319148936,0.045,0.03775
2018-12-06,0002,0.015234042553191489,0.029,0.027250000000000003
2018-12-07,0002,0.011062500000000001,0.042,0.033875
2018-12-08,0002,0.017854166666666667,0.044,0.037750000000000006
2018-12-09,0002,0.01983333333333333,0.041,0.036875000000000005
2018-12-10,0002,0.023500000000000004,0.042,0.034875
2018-12-11,0002,0.027083333333333334,0.047,0.04175000000000001
2018-12-12,0002,0.033355555555555555,0.042,0.03775
2018-12-13,0002,0.025124999999999998,0.041,0.03725
2018-12-14,0002,0.021458333333333333,0.038,0.0345
2018-12-15,0002,0.015375,0.038,0.020875
2018-12-16,0002,0.023375000000000003,0.045,0.037000000000000005
2018-12-17,0002,0.02716666666666667,0.043,0.02900000000000001
2018-12-18,0002,0.03308333333333333,0.042,
2018-12-19,0002,0.028104166666666666,0.043,0.039
2018-12-20,0002,0.018375,0.042,0.033
2018-12-21,0002,0.028041666666666663,0.043,0.036875000000000005
2018-12-22,0002,0.022541666666666668,0.037,0.034125
2018-12-23,0002,0.02625,0.046,0.042375
2018-12-24,0002,0.021229166666666664,0.043,0.04037500000000001
2018-12-25,0002,0.0176875,0.036,0.032125
2018-12-26,0002,0.011680851063829788,0.021,0.018000000000000002
2018-12-27,0002,0.025458333333333333,0.036,0.0335
2018-12-28,0002,0.022804347826086955,0.03,0.029250000000000005
2018-12-29,0002,0.0185,0.042,0.035750000000000004
2018-12-30,0002,0.029208333333333336,0.041,0.037875
2018-12-31,0002,0.017955555555555558,0.032,0.026500000000000003
2019-01-01,0002,0.013729166666666667,0.025,0.023750000000000004
2019-01-02,0002,0.021541666666666667,0.045,0.035250000000000004
2019-01-03,0002,0.026375,0.041,0.035
2019-01-04,0002,0.025687500000000002,0.047,0.035625000000000004
2019-01-05,0002,0.018645833333333334,0.045,0.031875
2019-01-06,0002,0.02002083333333333,0.041,0.0365
2019-01-07,0002,0.03139583333333333,0.044,0.04125
2019-01-08,0002,0.015083333333333332,0.034,0.031375
2019-01-09,0002,0.005191489361702128,0.02,0.015125000000000001
2019-01-10,0002,0.01025,0.032,0.02075
2019-01-11,0002,0.0133125,0.028,0.020375
2019-01-12,0002,0.019583333333333335,0.037,0.032125
2019-01-13,0002,0.021375,0.043,0.03675
2019-01-14,0002,0.03716666666666667,0.044,0.028833333333333332
2019-01-15,0002,0.04041666666666666,0.048,
2019-01-16,0002,0.018625,0.036,0.03025
2019-01-17,0002,0.020375,0.043,0.0355
2019-01-18,0002,0.015659574468085104,0.041,0.027125
2019-01-19,0002,0.022000000000000002,0.044,0.034249999999999996
2019-01-20,0002,0.024645833333333336,0.043,0.033874999999999995
2019-01-21,0002,0.024583333333333332,0.043,0.034375
2019-01-22,0002,0.029895833333333333,0.04,0.036625000000000005
2019-01-23,0002,0.03185416666666666,0.043,0.039874999999999994
2019-01-24,0002,0.021458333333333333,0.038,0.033
2019-01-25,0002,0.019145833333333334,0.047,0.037250000000000005
2019-01-26,0002,0.0346875,0.047,0.043000000000000003
2019-01-27,0002,0.03320833333333333,0.041,0.036750000000000005
2019-01-28,0002,0.028130434782608696,0.038,0.035166666666666666
2019-01-29,0002,0.01525,0.045,0.033625
2019-01-30,0002,0.023782608695652175,0.047,0.037
2019-01-31,0002,0.022553191489361704,0.046,0.041125
2019-02-01,0002,0.02779166666666667,0.051,0.04275
2019-02-02,0002,0.033125,0.047,0.0425
2019-02-03,0002,0.032125,0.048,0.04025
2019-02-04,0002,0.0241875,0.045,0.03987500000000001
2019-02-05,0002,0.014133333333333333,0.048,0.031125000000000003
2019-02-06,0002,0.010541666666666666,0.043,0.021375
2019-02-07,0002,0.015916666666666666,0.032,0.024625
2019-02-08,0002,0.003875,0.017,0.007875000000000004
2019-02-09,0002,0.008624999999999999,0.023,
2019-02-10,0002,0.012875,0.029,0.024875
2019-02-11,0002,0.019416666666666665,0.045,0.037875000000000006
2019-02-12,0002,0.021375,0.04,0.03200000000000001
2019-02-13,0002,0.017916666666666668,0.042,
2019-02-14,0002,0.029479166666666667,0.044,0.036000000000000004
2019-02-15,0002,0.025875,0.049,0.04275
2019-02-16,0002,0.028583333333333336,0.048,0.04112500000000001
2019-02-17,0002,0.032125,0.043,0.04
2019-02-18,0002,0.02395833333333333,0.031,0.02925000000000001
2019-02-19,0002,0.01625,0.026,0.021375000000000005
2019-02-20,0002,0.026166666666666668,0.048,0.043625000000000004
2019-02-21,0002,0.024041666666666666,0.037,0.035250000000000004
2019-02-22,0002,0.014333333333333332,0.028,0.019875000000000004
2019-02-23,0002,0.029020833333333333,0.048,0.045875000000000006
2019-02-24,0002,0.035562500000000004,0.052,0.04975
2019-02-25,0002,0.0208125,0.047,0.037000000000000005
2019-02-26,0002,0.010400000000000001,0.036,0.023666666666666673
2019-02-27,0002,0.011583333333333334,0.021,0.017500000000000005
2019-02-28,0002,0.013434782608695652,0.042,0.036625000000000005
2019-03-01,0002,0.02679166666666667,0.043,0.035375000000000004
2019-03-02,0002,0.03133333333333333,0.042,0.03950000000000001
2019-03-03,0002,0.03283333333333333,0.041,0.03875000000000001
2019-03-04,0002,0.024749999999999998,0.053,0.04775
2019-03-05,0002,0.01876595744680851,0.043,0.038000000000000006
2019-03-06,0002,0.018958333333333334,0.047,0.034625
2019-03-07,0002,0.02217021276595745,0.046,0.038000000000000006
2019-03-08,0002,0.024874999999999998,0.044,0.033625
2019-03-09,0002,0.0411875,0.052,0.04825
2019-03-10,0002,0.025833333333333333,0.046,0.04162500000000001
2019-03-11,0002,0.02341666666666667,0.046,0.041375
2019-03-12,0002,0.023000000000000003,0.039,0.03162500000000001
2019-03-13,0002,0.035854166666666666,0.05,0.04587500000000001
2019-03-14,0002,0.03879166666666667,0.05,0.04787500000000001
2019-03-15,0002,0.035395833333333335,0.055,0.052375000000000005
2019-03-16,0002,0.035604166666666666,0.054,0.052125000000000005
2019-03-17,0002,0.03666666666666667,0.053,0.052250000000000005
2019-03-18,0002,0.025875,0.039,0.03925000000000001
2019-03-19,0002,0.03746808510638298,0.055,0.052250000000000005
2019-03-20,0002,0.0394375,0.057,0.050125
2019-03-21,0002,0.034708333333333334,0.047,0.045125000000000005
2019-03-22,0002,0.029916666666666664,0.044,0.041
2019-03-23,0002,0.03679166666666667,0.046,0.044375000000000005
2019-03-24,0002,0.036333333333333336,0.052,0.049375
2019-03-25,0002,0.033791666666666664,0.058,0.05425000000000001
2019-03-26,0002,0.036333333333333336,0.06,0.052000000000000005
2019-03-27,0002,0.03825,0.056,0.053500000000000006
2019-03-28,0002,0.02689583333333333,0.048,0.043000000000000003
2019-03-29,0002,0.016125,0.025,0.019250000000000003
2019-03-30,0002,0.03672916666666667,0.047,0.04437500000000001
2019-03-31,0002,0.029541666666666664,0.046,0.044750000000000005
2019-04-01,0002,0.03745833333333334,0.052,0.04875
2019-04-02,0002,0.025391304347826084,0.037,0.038125000000000006
2019-04-03,0002,0.027458333333333335,0.053,0.04662500000000001
2019-04-04,0002,0.03722916666666667,0.057,0.052375000000000005
2019-04-05,0002,0.042104166666666665,0.057,0.05462500000000001
2019-04-06,0002,0.041600000000000005,0.055,0.054000000000000006
2019-04-07,0002,0.04564583333333333,0.06,0.05450000000000001
2019-04-08,0002,0.03780851063829787,0.053,0.04850000000000001
2019-04-09,0002,0.03704166666666667,0.055,0.044125000000000004
2019-04-10,0002,0.026479166666666665,0.046,0.043875000000000004
2019-04-11,0002,0.034291666666666665,0.049,0.045750000000000006
2019-04-12,0002,0.03325,0.045,0.0425
2019-04-13,0002,0.029916666666666664,0.041,0.034875
2019-04-14,0002,0.041708333333333326,0.057,0.053750000000000006
2019-04-15,0002,0.04060416666666667,0.056,0.05500000000000001
2019-04-16,0002,0.029520833333333333,0.049,0.04437500000000001
2019-04-17,0002,0.03730434782608696,0.052,0.04887500000000001
2019-04-18,0002,0.03885416666666667,0.052,0.04862500000000001
2019-04-19,0002,0.03791666666666667,0.054,0.052375000000000005
2019-04-20,0002,0.0448125,0.055,0.053625000000000006
2019-04-21,0002,0.04,0.053,0.043428571428571434
2019-04-22,0002,0.025294117647058825,0.034,0.03050000000000001
2019-04-23,0002,0.03341666666666667,0.057,0.052125000000000005
2019-04-24,0002,0.0369375,0.054,0.050625
2019-04-25,0002,0.050416666666666665,0.069,0.064625
2019-04-26,0002,0.03975,0.053,0.046875
2019-04-27,0002,0.042041666666666665,0.052,0.050125
2019-04-28,0002,0.0418125,0.052,0.049
2019-04-29,0002,0.029872340425531912,0.052,0.047
