,mda8,site_name,date,lat,long,ndvi,elev,dist2road,road_length,tmax,rhmax,pmax,apr_dummy,may_dummy,jun_dummy,jul_dummy,aug_dummy,sep_dummy,oct_dummy,yr_2018_dummy,yr_2019_dummy,yr_2020_dummy,yr_2021_dummy,yr_2022_dummy
39,55.41753333,Rocky Flats-N,Aug.2018,4418095.854,483881.8071,0.152818725,1728.49,68.83,2405.231232,302.2647865,67.82390812,0.982146299,0,0,0,0,1,0,0,1,0,0,0,0
40,41.20493548,Welby,Aug.2018,4409791.466,504291.7362,0.133760914,1592.47,818.31,0,303.692998,73.17168211,0.660129365,0,0,0,0,1,0,0,1,0,0,0,0
41,39.1784,Aurora East,Sep.2018,4387726.552,536954.6079,0.114746414,1793.14,11202.39,0,299.9961519,66.54145938,0.500248225,0,0,0,0,0,1,0,1,0,0,0,0
42,39.2823,Boulder Reservoir,Sep.2018,4435551.592,481219.7574,0.134466395,1593.88,544.8,0,300.6156217,63.15078236,0.469185023,0,0,0,0,0,1,0,1,0,0,0,0
43,31.02263333,Denver - Camp,Sep.2018,4400141.744,501060.1503,0.073556721,1609.04,1174.89,0,301.1077693,63.62267353,1.367285876,0,0,0,0,0,1,0,1,0,0,0,0
44,39.97365517,Highland Reservoir,Sep.2018,4379799.569,503676.9207,0.08371748,1746.35,280.62,3251.268031,300.0649004,59.45254237,0.530429473,0,0,0,0,0,1,0,1,0,0,0,0
45,31.37653333,La Casa,Sep.2018,4403283.245,499556.4178,0.179630801,1609.04,413,1231.818499,301.1077693,63.62267353,1.367285876,0,0,0,0,0,1,0,1,0,0,0,0
46,45.05573333,National Renewable Energy Labs - Nrel,Sep.2018,4399328.864,484750.2631,0.130036756,1766.56,1430.77,0,299.0255362,60.03864761,1.918499644,0,0,0,0,0,1,0,1,0,0,0,0
47,44.87813793,Rocky Flats-N,Sep.2018,4418095.854,483881.8071,0.152818725,1728.49,68.83,2405.231232,299.8405596,56.70638945,0.751481034,0,0,0,0,0,1,0,1,0,0,0,0
48,29.00331034,Welby,Sep.2018,4409791.466,504291.7362,0.133760914,1592.47,818.31,0,301.363723,63.61432606,1.53151063,0,0,0,0,0,1,0,1,0,0,0,0
49,30.83867742,Aurora East,Oct.2018,4387726.552,536954.6079,0.114746414,1793.14,11202.39,0,288.3449246,78.68060704,1.331590909,0,0,0,0,0,0,1,1,0,0,0,0
50,29.5718,Boulder Reservoir,Oct.2018,4435551.592,481219.7574,0.134466395,1593.88,544.8,0,289.2636534,76.0861116,1.58731168,0,0,0,0,0,0,1,1,0,0,0,0
51,18.98046667,Denver - Camp,Oct.2018,4400141.744,501060.1503,0.073556721,1609.04,1174.89,0,289.5198233,78.52983358,0.924390677,0,0,0,0,0,0,1,1,0,0,0,0
52,28.1006129,Highland Reservoir,Oct.2018,4379799.569,503676.9207,0.08371748,1746.35,280.62,3251.268031,288.5645235,78.49369624,1.146148053,0,0,0,0,0,0,1,1,0,0,0,0
53,18.49148387,La Casa,Oct.2018,4403283.245,499556.4178,0.179630801,1609.04,413,1231.818499,289.5198233,78.52983358,0.924390677,0,0,0,0,0,0,1,1,0,0,0,0
54,30.75454839,National Renewable Energy Labs - Nrel,Oct.2018,4399328.864,484750.2631,0.130036756,1766.56,1430.77,0,288.2099071,75.40088178,1.190665846,0,0,0,0,0,0,1,1,0,0,0,0
55,32.08167742,Rocky Flats-N,Oct.2018,4418095.854,483881.8071,0.152818725,1728.49,68.83,2405.231232,288.3659632,68.95918269,1.393343571,0,0,0,0,0,0,1,1,0,0,0,0
56,18.74941935,Welby,Oct.2018,4409791.466,504291.7362,0.133760914,1592.47,818.31,0,289.6626064,77.45867754,0.830356109,0,0,0,0,0,0,1,1,0,0,0,0
57,44.1962,Aurora East,Apr.2019,4387726.552,536954.6079,0.193965286,1793.14,11202.39,0,289.4986522,73.51887205,0.726785537,1,0,0,0,0,0,0,0,1,0,0,0
58,41.2077931,Boulder Reservoir,Apr.2019,4435551.592,481219.7574,0.167513356,1593.88,544.8,0,290.4859053,72.8964318,1.352890629,1,0,0,0,0,0,0,0,1,0,0,0
59,34.3588,Denver - Camp,Apr.2019,4400141.744,501060.1503,0.088950619,1609.04,1174.89,0,290.9165683,69.9148399,0.780219732,1,0,0,0,0,0,0,0,1,0,0,0
60,40.40496154,Highland Reservoir,Apr.2019,4379799.569,503676.9207,0.130471036,1746.35,280.62,3251.268031,289.6901758,71.73836478,0.831048134,1,0,0,0,0,0,0,0,1,0,0,0
61,34.61884615,La Casa,Apr.2019,4403283.245,499556.4178,0.218206942,1609.04,413,1231.818499,290.9165683,69.9148399,0.780219732,1,0,0,0,0,0,0,0,1,0,0,0
62,42.18758333,National Renewable Energy Labs - Nrel,Apr.2019,4399328.864,484750.2631,0.208784014,1766.56,1430.77,0,288.6715933,69.24056236,0.978331606,1,0,0,0,0,0,0,0,1,0,0,0
63,44.68848148,Rocky Flats-N,Apr.2019,4418095.854,483881.8071,0.195075735,1728.49,68.83,2405.231232,289.4435724,66.69236779,1.204783117,1,0,0,0,0,0,0,0,1,0,0,0
64,32.9432,Welby,Apr.2019,4409791.466,504291.7362,0.219603702,1592.47,818.31,0,290.7417482,71.00338696,0.832775603,1,0,0,0,0,0,0,0,1,0,0,0
65,43.09536667,Aurora East,May.2019,4387726.552,536954.6079,0.193965286,1793.14,11202.39,0,290.0939031,78.05593291,3.239195754,0,1,0,0,0,0,0,0,1,0,0,0
66,39.27812903,Boulder Reservoir,May.2019,4435551.592,481219.7574,0.167513356,1593.88,544.8,0,290.7876582,78.56678397,2.163310417,0,1,0,0,0,0,0,0,1,0,0,0
67,33.96248387,Denver - Camp,May.2019,4400141.744,501060.1503,0.088950619,1609.04,1174.89,0,291.6798485,75.81331201,2.18646073,0,1,0,0,0,0,0,0,1,0,0,0
68,41.6906129,Highland Reservoir,May.2019,4379799.569,503676.9207,0.130471036,1746.35,280.62,3251.268031,290.4286523,75.26281704,2.310552468,0,1,0,0,0,0,0,0,1,0,0,0
69,33.82541935,La Casa,May.2019,4403283.245,499556.4178,0.218206942,1609.04,413,1231.818499,291.6798485,75.81331201,2.18646073,0,1,0,0,0,0,0,0,1,0,0,0
70,41.73858065,National Renewable Energy Labs - Nrel,May.2019,4399328.864,484750.2631,0.208784014,1766.56,1430.77,0,289.10052,75.12921617,2.347439028,0,1,0,0,0,0,0,0,1,0,0,0
71,41.81763333,Rocky Flats-N,May.2019,4418095.854,483881.8071,0.195075735,1728.49,68.83,2405.231232,289.7389972,74.3203043,2.483684756,0,1,0,0,0,0,0,0,1,0,0,0
72,32.1334,Welby,May.2019,4409791.466,504291.7362,0.219603702,1592.47,818.31,0,291.4286475,77.1386813,1.78594691,0,1,0,0,0,0,0,0,1,0,0,0
73,47.449,Aurora East,Jun.2019,4387726.552,536954.6079,0.193965286,1793.14,11202.39,0,299.2236303,70.88254028,2.738353336,0,0,1,0,0,0,0,0,1,0,0,0
74,45.88648276,Boulder Reservoir,Jun.2019,4435551.592,481219.7574,0.167513356,1593.88,544.8,0,300.3009435,72.42531392,2.216230799,0,0,1,0,0,0,0,0,1,0,0,0
75,41.0539,Denver - Camp,Jun.2019,4400141.744,501060.1503,0.088950619,1609.04,1174.89,0,301.0320198,71.91193955,0.800463846,0,0,1,0,0,0,0,0,1,0,0,0
76,48.4842,Highland Reservoir,Jun.2019,4379799.569,503676.9207,0.130471036,1746.35,280.62,3251.268031,299.4474044,71.32580827,1.791143467,0,0,1,0,0,0,0,0,1,0,0,0
77,40.78917241,La Casa,Jun.2019,4403283.245,499556.4178,0.218206942,1609.04,413,1231.818499,301.0320198,71.91193955,0.800463846,0,0,1,0,0,0,0,0,1,0,0,0
78,48.81853333,National Renewable Energy Labs - Nrel,Jun.2019,4399328.864,484750.2631,0.208784014,1766.56,1430.77,0,298.3657809,69.79255768,1.41280006,0,0,1,0,0,0,0,0,1,0,0,0
79,49.44316667,Rocky Flats-N,Jun.2019,4418095.854,483881.8071,0.195075735,1728.49,68.83,2405.231232,299.2780347,68.09146241,2.08085525,0,0,1,0,0,0,0,0,1,0,0,0
80,36.07586667,Welby,Jun.2019,4409791.466,504291.7362,0.219603702,1592.47,818.31,0,301.1134021,72.04170731,0.823903391,0,0,1,0,0,0,0,0,1,0,0,0
